MOVIE_NUM,STIM_NUM,MOVIE_NAME,SCALE_FACTOR,OPEN_SCREEN,CLOSE_SCREEN,END_ISI
1,1,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8tan_075_audOnly.avi,,1472072533.4032,1472072534.0043,1472072535.0136
2,2,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_050_audVid.avi,,1472072535.0141,1472072535.6043,1472072536.6137
3,3,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_025_visOnly.avi,,1472072536.6143,1472072537.1368,1472072538.146
4,4,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3tan_075_audVid.avi,,1472072538.1466,1472072538.6566,1472072539.6655
5,5,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_025_visOnly.avi,,1472072539.666,1472072540.1757,1472072541.185
6,6,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2tan_075_audOnly.avi,,1472072541.1858,1472072541.708,1472072542.7177
7,7,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_100_audOnly_noisy.avi,,1472072542.7182,1472072543.2544,1472072544.2638
8,8,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6tan_075_audOnly.avi,,1472072544.2643,1472072544.7873,1472072545.7965
9,9,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7tan_075_visOnly.avi,,1472072545.7971,1472072546.3067,1472072547.3166
10,10,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_075_visOnly.avi,,1472072547.3171,1472072547.8272,1472072548.8355
11,11,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2tan_050_audOnly.avi,,1472072548.836,1472072549.3601,1472072550.3682
12,12,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_075_audVid.avi,,1472072550.3687,1472072550.945,1472072551.9542
13,13,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_075_visOnly.avi,,1472072551.9548,1472072552.4646,1472072553.4737
14,14,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/Average_audVid.avi,,1472072553.4745,1472072554.0376,1472072555.0466
15,15,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6tan_050_audOnly.avi,,1472072555.0471,1472072555.558,1472072556.5659
16,16,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/Average_audOnly.avi,,1472072556.5664,1472072557.0363,1472072558.0455
17,17,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_025_audOnly.avi,,1472072558.046,1472072558.5689,1472072559.5782
18,18,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2tan_075_visOnly.avi,,1472072559.5788,1472072560.1551,1472072561.1643
19,19,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_100_audOnly.avi,,1472072561.1648,1472072561.6878,1472072562.6971
20,20,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_100_visOnly_noisy.avi,,1472072562.6976,1472072563.2608,1472072564.2699
21,21,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3tan_025_audVid.avi,,1472072564.2704,1472072564.7803,1472072565.7893
